,category,header,contents
0,politics,Evil Lurks in a Socialist Dress.,"A mixed up future before us, with peanut butter smeared on the path of socialism, to lurk and tempt the innocent and young. Those who know the outcome are those who have been it's victims. Who is to drive us back to center,  a better cause of freedom, free enterprise and representative government?"
1,politics,Trump; the Great MAGA King and His Ultra Supporters,Could Trump's team have come up with anything better than that which Joe Biden's team has come up with? I think not!
2,politics,"The Criminal Life of Simon Matheri Ikere, a Ruthless Kenyan Gangster, and a Contracted Killer","He tops the list of one of the most ruthless gangsters in Kenya's history. His reign of terror led to a team being formed to deal with the gangster, and his gang."
3,politics,Why BBM's P20 Rice Is as Real as Tallano Gold,The voters are being scammed again.
4,politics,Insanity Equals Refusing to Learn,"Despite all present technology flattering our apparent advancement, the world is still wallowing in idiocies of the past, and some new ones -- so perfectly depicted by the video at the end of the text."
5,politics,The Philippine Working Class: The Backbone of the Economy,The Philippine Working Class and how they serve as the backbone of the country's economy.
6,politics,Crash of India,"India Stock Market does not show reality of economy. Market is one incident away from Too Big To Fall Moments. The Balance of Payments because of high prices, NPA in Banking and Tightening by FED and Global interest rate increase can bring Indian market crash."
7,politics,Crusader With a Camera: Lewis W. Hine,"Lewis Hine was instrumental in giving the public an 'eye' into the abuses of child labor.  Going undercover, he used his camera to capture the horrors of working children."
8,politics,"King George III Was Actually Not A Tyrant, And Your Textbooks Are Wrong","He said we'd be back, and here we are."
9,politics,"E.T.'s, and All Gods Including Zeus, Odin, Manitou, Viracocha...anybody, Please, Save Us From Politicians!: A Satire","A mix of humor and satire, targeting the ugly political reality on this planet of ours."
10,politics,Did Your US School Teach The Opposing Arguments to the American Revolution?,"Teaching the Revolution later on leads to greater understanding of the causes and crises of war, rather than purporting only a one-sided war doctrine built upon innuendo, presumption, caricature, jingoism, and sketchy justification since then bleached in US history textbooks."
11,politics,Abortion and Politics: Then and Now,"After nearly 50 years, could we finally be coming back to our senses?"
12,politics,How Is Hardly Mentioned Natural Immunity Alone Protecting the 40% of Mankind Against Covid-19?,"It's a puzzle to any free-thinking person -- why almost half of the mankind's eight billion people, who are still unvaccinated, are not in hospitals and morgues."
