,category,header,content
0,entertainment,3 Things in the Entertainment Industry You Shouldn’t Take Personally,
1,entertainment,Netflix and the terrible tendency toward isomorphism,
2,entertainment,7 Interestingly Lesser-Known Things About Britain Before Christianity,
3,entertainment,Goodies for the Oldies #4,
4,entertainment,The United States of Insanity,
5,entertainment,Re-watching Promising Young Woman,
6,entertainment,The Lie about Kevin Samuels,
7,entertainment,3 tips that raise your Engagement Rate 2x time,
8,entertainment,“Top Gun” is Still Loads of Fun,
9,entertainment,How Lucasfilm Failed Rose Tico,
