,category,header,content
0,science,Why Banning Abortion is Terrible For Public Health,"Dispelling myths about abortion —  Abortion is in the news again, because in the United States a leaked Supreme Court document appears to show that the landmark Roe v Wade decision will be overturned shortly. This will almost certainly have the practical impact of making abortion illegal across a number of American states, and highly… You might have heard of gravity wells from your favorite sci-fi movie. Maybe you heard it in your old physics class, but what exactly is a gravity well? At the time, you might have thought to yourself “certainly, it is not an actual cylindrical-shaped hole that drops into the abyss…"
1,science,The Secrets of Tesla’s and Ramanujan’s Knowledge,"What do the two eccentric geniuses have in common —  Nikola Tesla can be considered the founding father of modern electrical engineering. The Serbian-born inventor is one of the most profound and prolific scientists of all time who, unfortunately, had to go through a lot in his life. During the time of his death, it is reportedly stated that he… Give this problem a try as you read along! Part 1 Like bees, butterflies are pollinators. They are attracted to brightly colored flowers and the scent of nectar. As they…"
2,science,Understanding the Irrationality of π,"An indescribably beautiful proof —  In this article, we will carefully try to understand why π is an irrational number. We will do this by going through what is in my opinion one of the most beautiful and creative proofs in all of mathematics. In my last article, we proved that the star of calculus… The ability of a material to conduct electricity relies on two main factors: The number of ‘free’ electrons available to carry a charge"
3,science,The Introduction to String Theory You Were Looking for,"What you need to know about string theory and how it explains the universe. A beginner’s guide. —  For decades, scientists have sought an all-encompassing, all-explaining theory. This so-called ‘theory of everything’ (or ‘final theory’) aims to explain our universe in the simplest possible way by combining all of our current knowledge and concepts. It is the holy grail of physics. To be successful, the theory must reconcile…"
4,science,Web3 is about to disrupt scientific funding,"Science. For some, it catalyzes memories of middle school science fairs and for others, it’s their day-to-day career. In the Web3 community, scientists and non-scientists alike are forming a movement called DeSci (decentralized science), which is a global effort aimed at transforming how we fund, conduct, and publish scientific research. … In no small part due to COVID-19, video conferencing apps are all the rage. With ‘Zoom’ becoming a new verb in the average person’s arsenal, we live in a time like no…"
5,science,FWS Scholar: Kris Budd,"Kris Budd grew up in a military family for most of her childhood before finally settling down in the mountain town of Heber City, Utah. There, she explored much of the Wasatch backcountry by hiking, boating, and fishing. Kris received her Bachelor’s of Science in Biology from Southern Utah University… Intuitive eating Intuitive eating is one of those phrases that is just vague enough to please everybody. I don’t mean that negatively. All I want to say with this is that such phrases are easily twisted into a narrative by people trying to sell you things."
6,science,"Rationality is instrumental, and that’s a problem","The subtle and complex relationship between logic, philosophy, and science —  Today I read a decidedly unfavorable review of the latest book by Steven Pinker, Rationality: What It Is, Why It Seems Scarce, Why It Matters. I’m no fan of Pinker, but this article isn’t (mostly) about him or the book. Rather, it’s about one of the main criticisms brought up… Without further ado, let’s dive in! The Standard Normal Distribution"
7,science,The American West Is Sleepwalking Towards a Disaster,"No one is willing to do the hard things to avert a crisis —  The American west is careening towards a disaster of epic proportions. The impending crisis has a little bit to do with climate change and a lot to do with the historical climate of the region. The American west is dry — much drier than people initially realized. This poses an… I say universally, because as… In March of this year, we officially launched our S1 Pioneer Program. The first formulation we chose to activate on the sofi system was Valerian, a plant that has been extensively studied for its role in targeting insomnia, anxiety, and sleeplessness."
8,science,"Nutrients, Tools and Protocols for Health and Wellbeing","These are my notes from The Huberman Lab Podcast episode #70. I am a BIG fan of Dr. Huberman and his podcast. Dr. Rhonda Patrick is someone who I have been following for a while in the wellness, fitness, and health area, and I was delighted that she was in… Wouldn’t it be ironic to finally prove the existence of extraterrestrial life and then everyone here dies. At least it would prove that the cold, dark universe has a sense of humor."
9,science,How To Really Solve This Tricky Algebra Problem? (II),"If you are into old-school algebra and analysis, you will enjoy this one! —  When you take a look at this, it does not come across as a tricky algebra problem at all. But think again. … If you haven’t noticed though, you probably need to look closer because… 4: From (A1) and (A3), we can infer that everything relates…"
10,science,Equations & Curves,"A Cambridge STEP Question —  In today’s entry, we will solve a Cambridge STEP question involving equations and curve sketching. Give this problem a try as you read along! Part 1"
11,science,We Need a New Story,"What is a Story? When I say we need a New Story, what does that mean? What is a story anyway? Well a story is something we believe individually, or as a culture, that gives structure and meaning to our lives. It tells us who we are, where we come from, and why we…"
12,science,Steal My 3 Easiest Anxiety Busters That I Practice daily,"Science says you can manage your anxiety in less than 10 minutes with these tips. —  Anxiety is the cost you pay for living a modern life. You will always suffer from anxiety no matter if you love or hate your life. If you hate your life then anxiety will be the catalyst for change, and if you love your life then it is the price…"
13,science,Webex is Committing Mass Privacy Violations,"How one of the world’s leading video conferencing apps is always listening to you, even when you’re muted In no small part due to COVID-19, video conferencing apps are all the rage. With ‘Zoom’ becoming a new verb in the average person’s arsenal, we live in a time like no…"
14,science,Listen to Your Body? On Intuitive Eating and Nutritional Wisdom,Research suggests that our bodies are intuitively capable of regulating micronutrient intake — with two big caveats —  Intuitive eating Intuitive eating is one of those phrases that is just vague enough to please everybody. I don’t mean that negatively. All I want to say with this is that such phrases are easily twisted into a narrative by people trying to sell you things. The core idea of intuitive eating…
15,science,Growing Field of Twistronics: Key to Holy Grail of Physics?,"Surprising discovery brings us one step closer to superconductivity —  When I wrote about superconductors and called them “the technology that will change everything”, I couldn’t help but feel an itch in the back of my mind — a vague notion that graphene and superconductors had a deeper relationship that hadn’t yet been explored. …"
16,science,Read this article to unlock the fundamental currency (Nuclear Fusion Energy) of our world!,"If you would ask me what is the fundamental currency of our world, I’d say “energy”. It lights our homes, powers our computers, cooks our food…… We can get energy in a variety of ways, such as burning fossil fuels, splitting atoms, or sunlight striking photovoltaics. But there’s a downside…"
17,science,Adventures In Framing: 7 Things Not To Do,"This is the first story in my “Adventures In Framing” series as a 2022 Rotary Charities Changemaker Fellow — a three-year fellowship with the FrameWorks Institute to bring the social science of framing to northern Michigan to better drive change. I love learning what to do but, I also appreciate…"
18,science,Second Earth — New worlds for life 35 light years from Earth discovered!,Astronomers report the discovery of the smallest extrasolar planet ever and a couple of others in the same system. One of them could be a second Earth. The planet orbits in a zone where temperatures are favorable for life. A team of astronomers using the Very Large Telescope (VLT) located…
19,science,How was the moon formed? — One theory speaks of a catastrophe on an unimaginable scale.,"Our Moon is among the five largest moons in the Solar System. It is also the best studied of them. Yet scientists are still unsure how the Moon formed. Mars has two of them, Jupiter — 79, and Venus none. Our only natural and permanent satellite — the Moon —…"
20,science,Five Tips to Help You Attract Butterflies to Your Yard and Garden,"Butterflies are not only beautiful they are beneficial. —  I love it when I see butterflies. Not only are they relaxing to watch flutter about and pretty to look at, they are also indicators of a healthy environment and ecosystem. Like bees, butterflies are pollinators. They are attracted to brightly colored flowers and the scent of nectar. As they…"
21,science,2004 Nimitz Carrier Group had TICTACs and FLYING SAUCERS!,"How is the internet not blowing up with UFO enthusiasts saying, told you so?! I know, unidentified, till specified otherwise. But what goes from hovering around 80,000 feet to sea level in seconds? Now, if I were on Joe Rogan show interviewing Neil deGrasse Tyson, and said, as Rogan did…"
