,categories,headers,contents
0,business,Moderna CFO Quits After Only One Day on the Job -- And Cashes Out With His Entire First-Year Salary,"The biotech company announced that Jorge Gomez was leaving his position, effective immediately."
1,business,Elon Musk Is Under Investigation for Twitter’s Buyout; Co-founder Jack Dorsey Declines To Be CEO Again,Elon Musk is now under investigation after a lawsuit was filed against him in New York. The lawsuit is about his Twitter acquisition that was not entirely transparent to the public. Musk's buying of small pieces of Twitter's stake allowed him to buy parts of the company at a lower...
2,business,"Op-Ed: If Biden is serious about tackling inflation, he should not cancel student loan debt","On May 10, President Biden said that fighting ever-worsening inflation – sitting at 8.3% as of the just-released April Consumer Price Index (CPI) report – is his “top domestic priority.” He promised, “All of my plan is focused on lowering costs for the average family in America, to give them just a little bit of breathing room.”"
3,business,"Twitter execs Kayvon Beykpour, Bruce Falck ousted as Musk takeover looms","Twitter has ousted two top executives — with both of them tweeting they were fired on Thursday — as the social media giant edges closer to being acquired by Tesla CEO Elon Musk.

Kayvon Beykpour, the company’s general manager, and Bruce Falck, Twitter’s head of revenue, announced on Thursday that they were let go by CEO Parag Agrawal.

Jay Sullivan, the head of consumer product, will take over Beykpour’s position.

Beykpour tweeted on Thursday that “this wasn’t my decision” and that Agrawal “asked me to leave after letting me know that he wants to take the team in a different direction.”

Falck also tweeted..."
4,business,"Elon Musk says Americans 'are trying to avoid going to work at all,' unlike Chinese workers who 'will be burning the 3 a.m. oil'","The Tesla CEO said he expects China to produce ""some very strong companies"" as a result of a strong work ethic and belief in manufacturing."
5,business,Hyundai to announce $7 billion EV plant in Georgia during Biden visit to South Korea,"South Korean automaker Hyundai is expected to announce next week it's building a massive electric vehicle plant near Savannah, Georgia, according to a U.S. official. Hyundai is finalizing its plans for the new plant as President Joe Biden is set to travel to South Korea next week as part of his first visit to Asia during his administration."
6,business,Why McDonald's Franchisees Are Furious About A New Company Rule,"Update 5/12/22: This story has been updated to include a statement from McDonald's. Multi-billion-dollar businesses might seem like well-oiled machines on the surface, but that's rarely the case. In fact, one might find that the mega-brands that frequently update their offerings are the ones that bring in the most business."
7,business,"Lordstown Sells Plant to Foxconn, Just in Time","Lordstown Motors and Hon Hai Technology Group close deal on $230 million Ohio factory purchase and operating agreement, days ahead of a May 18 deadline. Hon Hai Technology Group, better known as Foxconn, will operate the Ohio plant in a joint venture with Lordstown, slated to produce the Endurance pickup and other EVs in the future."
8,business,Musk/Twitter Deal Hits Major Roadblock,"Well, he did say that he didn't care about the economics. Last month during a TED appearance, Tesla (TSLA) - Get Tesla Inc Report CEO Elon Musk said that his bid to acquire Twitter (TWTR) - Get Twitter, Inc. Report was ""not a way to make money."" ""I don't care..."
9,business,U.S. Treasury's Yellen says Fed can bring down inflation without causing recession,"WASHINGTON, May 12 (Reuters) - U.S. Treasury Secretary Janet Yellen said that she believes the Federal Reserve can bring down inflation without causing a recession because of a strong U.S. job market and household balance sheets, low debt costs and a strong banking sector. Yellen told a U.S. House of..."
