,categories,headers,contents
0,entertainment,Look: Top Ronda Rousey Sports Illustrated Swimsuit Photos,"Saturday night was a big night in the fighting world, with a premier boxing match and a slate of UFC events taking place. Ronda Rousey is no stranger to a big fight night. The former UFC standout turned wrestling star has been a part of several notable fight nights over the course of her career. She's been a part of some cool things outside of the fighting ring, too."
1,entertainment,Mary Trump slams Susan Sarandon as a 'moron' for suggesting it's pointless to vote for the Democratic party,"Mary Trump criticized longtime activist and actress Susan Sarandon, who has become increasingly critical of the Democratic Party."
2,entertainment,[WATCH] Wendy Williams Reveals To Fat Joe ‘Unfortunately I Only Have $2’,"Rapper Fat Joe reunited with talk show host Wendy Williams and she revealed she only has $2. Wendy Williams admitted during a sit-down interview with Fat Joe that while she misses being on The Wendy Williams Show, she won’t be tuning in to Sherri anytime soon. “I wish I..."
3,entertainment,"Anna Nicole Smith's Daughter Dannielynn Birkhead, 15, Snaps Colorful Photo with Dad Larry at Kentucky Derby","Dannielynn Birkhead brought some color to the Kentucky Derby!. The 15-year-old daughter of the late Anna Nicole Smith dressed up for the event, wearing a vibrant and multi-colored Celia B dress with a pair of Betsey Johnson shoes. Dannielynn and her dad Larry Birkhead snapped a sweet photo together, as..."
4,entertainment,Everyone's Saying Same Thing About Danica Patrick Today,"Danica Patrick was on the scene in Miami, Florida this weekend, for the first-ever Formula 1 race in South Florida. The former IndyCar and NASCAR driver was a part of the network coverage for the Formula 1 event, which featured the sport's top drivers competing in front of a packed Miami crowd, which included some notable celebrities (like Michael Jordan, Tom Brady and David Beckham)."
5,entertainment,Paige Spiranac's Hot Dog Tweet Goes Viral: Fans React,"Paige Spiranac brought the trolls out on social media with her admission earlier this week. ""There is nothing better than a hotdog at the turn on the golf course,"" the former professional golf star turned social media tweeted this week. Unsurprisingly, there were a lot of, well, inappropriate comments in..."
6,entertainment,"Tom Brady Admitted To 1 ""Issue"" In His Marriage","Tom Brady and his wife, supermodel Gisele Bundchen, have a pretty picture perfect marriage. However, not everything is perfect for the prominent couple. Last season, Brady admitted to one ""very difficult"" issue in his marriage to Gisele. While Brady wants to keep playing in the NFL - and he'll be..."
7,entertainment,"Report: Why Aaron Rodgers, Shailene Woodley Ended Relationship","Aaron Rodgers and Shailene Woodley are no longer a couple. The Green Bay Packers quarterback and the Hollywood actress got engaged earlier in the pandemic. Rodgers stunned the football world when he announced his engagement during his MVP acceptance speech in January 2021. However, Rodgers and Woodley called off the..."
8,entertainment,Carrie Underwood Rocks Purple Daisy Dukes For 2022 iHeartCountry Festival In Austin: Photos,"Country queen Carrie Underwood stunned yet again at the iHeartCountry Festival with some daisy dukes! She channelled some serious Y2K vibes with her outfit thanks to denim and sequins galore at the event in Austin, Texas on May 7. She rocked a bedazzled jean jacket with cutoff sleeves, point denim knee high boots, dangly rhinestone earrings, and an assortment of rings on her fingers. But perhaps the best part of her getup was the super short jagged purple daisy dukes, showing off her toned legs and making her look like a true southern star."
9,entertainment,LisaRaye McCoy Clashes with Judy Dupart over Baby News,"Da Brat’s relationship with LisaRaye McCoy has been tested. “Growing Up Hip Hop Atlanta” star Da Brat took a major step when she opened up about her romance with Jessica “Judy” Dupart. For Brat, she was terrified about being more vocal about her personal life. She worried people would judge her. However, she knew Judy was the one for her. So she decided to no longer allow her fear to hold her back from sharing her happiness with the world. Judy made some appearances on GUHHATL, and eventually, the couple got their own spinoff on WE tv. Now fans can watch “Brat Loves Judy” to get updates on Brat’s romance with the successful entrepreneur."
10,entertainment,The CW Show Canceled After 7 Seasons,"Legends of Tomorrow is officially a thing of the past. It was recently reported that The CW canceled Legends of Tomorrow after seven seasons on the network, per Deadline. The news may come as a shock to fans, especially as the most recent and, now, final season ended on a cliffhanger."
11,entertainment,William and Kate Plan to Go by Their First Names and Not Titles as Part of Modernizing the Monarchy,"Change may very soon be coming to the royal family, ushering in a new modus operandi colloquially known as the “Cambridge Way” which could include the Duke and Duchess of Cambridge scrapping those titles and being called simply William and Catherine. Shakeups in royal protocol are apparently underway..."
12,entertainment,Paige Spiranac Admitted There's 1 Topic She Won't Touch,"Former professional golfer turned sports media personality Paige Spiranac is a pretty open book on most topics. Whether it's golf, the media world, other sports, pop culture...you name it, Spiranac is probably going to be open about it. There's one topic the former University of Arizona and San Diego State..."
13,entertainment,Surprising Robert Downey Jr. Movie is the #1 Film on Netflix,"A movie starring Robert Downey Jr. being incredibly popular in 2022 probably doesn't come as much of a surprise to anyone. After anchoring the Marvel Cinematic Universe for more than a decade, Downey is one of the most popular stars on the entire planet. One of his films was recently added to Netflix and quickly soared through the Top 10 rankings on the service, but it surprisingly wasn't one of his recent efforts."
14,entertainment,"Nick Jonas and Priyanka Chopra Share First Photo of Their Daughter, Reveal She Spent '100 Plus' Days in NICU","Introducing Nick Jonas and Priyanka Chopra's daughter! On Sunday, the “Remember This” singer and actress took to their respective Instagram accounts to officially introduce the world to their daughter, Malti Marie Chopra Jonas, and share her inspiring story. “On this Mother’s Day we can’t help but reflect on..."
