,categories,headers,contents
0,politics,"After tanking Joe Biden's last pick, Joe Manchin said he'd back the president's next selection for a senior role at the Federal Reserve: Michael Barr.","""I believe [Barr] will make a good addition to the Federal Reserve Board,"" he says. Second time's the charm: Sen. Joe Manchin (R-W.Va.) announced Tuesday he plans to support the nomination of Michael Barr for a crucial slot at the Federal Reserve, President Joe Biden's second attempt to fill the important role."
1,politics,Schumer sends letter to Fox News asking network to stop amplifying ‘Great Replacement’ theory," Senate Majority Leader Chuck Schumer sent a letter to Fox News executives urging them to stop amplifying the “Great Replacement theory” after a shooting in Buffalo, New York left 10 people dead. Mr Schumer, who represents New York in the US Senate, sent the letter to Fox Corporation chairman Ruper Murdoch, executive chairman and chief executive Lachlan Murdoch, Fox News chief executive Suzanne Scott and president and executive editor Jay Wallace asking them to “cease and desist” amplifying the “Great Replacement” theory. The racist theory postulates that Democrats and other shadowy elites, including Jewish people, want to supplant white..."
2,politics,Rep. Madison Cawthorn's Childish Taunt At Rep. Liz Cheney Comes Back To Haunt Him,"The North Carolina congressman, who lost his primary bid Tuesday, joked about Cheney's removal as chair of the House Republican Conference in 2021."
3,politics,"Russian Strikes Wipe Out Equipment, Ammo Dumps and Troops","The missiles fired from the Black Sea vessel reportedly wiped out weapons and military equipment received from abroad, in addition to killing enemy troops."
4,politics,"Ukrainian soldiers in Mariupol’s steel plant surrender, but Russia may label them as a terrorist group","Though Ukrainian soldiers had more than 200 fighters bunkered down for weeks beneath a Mariupol steel factory, they have surrendered to Russian troops. The Ukrainian government said they’d be a part of a prisoner swap, but Russia has said they’re considering labeling Ukrainian soldiers members of a “terrorist group” and will investigate each fighter for possible crimes against civilians. May 17, 2022."
5,politics,Russian Troops Flee From Ukrainian Shells in Strike Caught on Video,"On-the-run Russian troops abandoned their equipment and fled after an artillery strike devastated their hidden position, say Ukrainian military leaders."
6,politics,Trump and his associates just had a very bad day thanks to a cascading series of Justice Department moves,"From New York to DC, associates of former President Donald Trump were surely feeling new heat from the Justice Department on Tuesday."
7,politics,Donald Trump 'Truth' Twitter Account Suspended as Liz Harrington Quits Site,"Some of the messages Trump wrote on Truth were being shared on Twitter by Harrington, defying the rule that banned users shouldn't circumvent restrictions by using other people's profiles."
8,politics,D.C. Circuit Judges Decide Trump-era DOJ’s Draft Letter on Census Citizenship Question Is Not Public Record Under FOIA,"A federal court on Tuesday ruled that drafts of a letter that was ultimately sent by the U.S. Department of Justice in order to request a citizenship question on the 2020 Census are not public records that can be accessed under the Freedom of Information Act. In a 24-page opinion,..."
9,politics,How Trump-backed candidates fared on the busiest primary day,"The former president's endorsement record Tuesday was mixed. While state Sen. Doug Mastriano won in Pennsylvania, elsewhere several other Trump favorites fell short."
10,politics,"Casey DeSantis says her husband, Florida Gov. Ron DeSantis, 'picked me up literally and figuratively' and went to all her chemo treatments","Casey DeSantis said she'd someday tell her children about her breast cancer diagnosis and that ""their dada stood by mama and we fought this."""
11,politics,House 1/6 panel rejects Justice Dept.’s transcript request,"WASHINGTON (AP) — The House panel investigating the Jan. 6 insurrection at the U.S. Capitol is rejecting a request from the Justice Department for access to the committee’s interviews, for now. Rep. Bennie Thompson, D-Miss., the committee’s chairman, said Tuesday that the Justice Department had made the request..."
12,politics,'From America With Love': Ukraine Troops Hit Russian Military With U.S. Howitzers,"Ukrainian troops shelled Russian targets with brand new M777 howitzers donated by the U.S. with the message ""From America with Love."""
13,politics,Madison Cawthorn: Trump-backed Gen Z congressman ousted amid scandal,"To his fans, he was a fresh-faced outsider elected to Congress to give voice to Americans young and old fed up with 'wokeism'. To his critics - and there were many - he was a shameless opportunist more interested in personal branding than public service. Neither friend nor foe could..."
14,politics,'The whole world is against us': Russian military analyst gives damning assessment of Ukraine war on state TV,"In a country where independent media and commentary has all but disappeared, it's become unusual to hear dissenting voices on the many state-controlled TV networks in Russia. Voices critical of the Kremlin or the invasion are rarely heard, with most commentators publicly supportive of the war with Ukraine. But one..."
15,politics,"Dr. Oz, McCormick say tight Pennsylvania GOP Senate primary won't be decided tonight; Fetterman wins Dem Senate primary, NBC projects","Voters are deciding several key races, including a Republican Senate primary that features Dr. Mehmet Oz, hedge fund boss Dave McCormick and commentator Kathy Barnette. Lt. Gov. John Fetterman will win the state's Democratic Senate primary race, NBC News projected. Republican state Sen. Doug Mastriano will compete against Democratic state..."
16,politics,Pennsylvania Voters Rejected the Political Establishment in Tuesday's Primaries,"The two clear winners of Tuesday's contested primaries in Pennsylvania have something in common. They're outsiders from the traditional political power structures, embraced by voters who are fed up with those structures and with the increasingly useless—perhaps even impotent—party establishments. But not every race has a clear winner,..."
17,politics,Prosecutors say lawyer used clout to plant damaging information on Trump with FBI,"WASHINGTON, May 17 (Reuters) - Federal prosecutors on Tuesday sought to portray an attorney who formerly worked for Hillary Clinton's 2016 presidential campaign as a privileged, high-powered person who abused his connections with the FBI in a bid to harm former President Donald Trump's campaign just weeks before the election."
18,politics,Stimulus Check Update: Americans in Two States to Receive Money Next Month,"Checks in the amounts of $250, $500 and $850 are going out to taxpayers in two different states."
19,politics,Pennsylvania’s Senate Primary Shows What Happens When Frontrunners Forget to Play Defense,Oz and McCormick forgot to look downstream and Pennsylvania Republicans could pay the price.
20,politics,"Pennsylvania, North Carolina, Kentucky, Idaho and Oregon primary results","Former President Donald Trump's high-profile endorsements had mixed results on Tuesday night, in the broadest test of his appeal, and progressives appear to have had a strong showing, though some races had yet to be called early Wednesday morning. Five states had primary contests Tuesday. One of the most closely..."
21,politics,Jim Jordan Accuses Jan. 6 Committee of Having 'Lied to the Country',"Jordan said that the 1/6 committee had ""altered evidence"" and ""lied to the country,"" while declining to say whether he would comply with the committee's subpoena."
22,politics,"Cawthorn's out, Maloney's in a mess",Presented by The American Petroleum Institute (API) MALONEY’S NEW YORK MORASS — What does it mean to have the man in charge of protecting House Democratic incumbents suddenly pitted against one of their own? A conflict of interest or just a rough roll of the dice?. Democratic Congressional...
23,politics,Controversial Rep. Madison Cawthorn Concedes North Carolina Republican Primary,"Rep. Madison Cawthorn — whose missteps and controversial comments about Ukraine's president and members of his own party generated Republican ire and a bevy of headlines — has conceded his party's nomination for a second term in the House of Representatives, after voters weighed in Tuesday in North Carolina's Republican primary."
24,politics,"No winner yet in Pennsylvania's hot U.S. Senate Republican primary, key midterm matchup","PHILADELPHIA (Reuters) -Pennsylvania’s hotly contested U.S. Senate Republican primary between TV personality Dr. Mehmet Oz and former hedge fund executive David McCormick was still undecided on Wednesday, after a technical error delayed the counting of thousands of ballots. Oz, whose candidacy was propelled by a late endorsement from former..."
25,politics,Madison Cawthorn crashes out in spectacular fashion after Trump’s ‘foolish’ rebuke," Two very different scenes developed in Hendersonville on Tuesday as a pair of rivals faced off for the title of GOP nominee to represent this quiet part of western North Carolina in the House of Representatives.With the scenic Blue Ridge mountains rising in the background, state senator Chuck Edwards gathered with supporters at a small lodge with a man-made waterfall on the city’s outskirts, awaiting the night that could send him hundreds of miles away to Washington.Across town at a small auto detailer and tire shop rented out by his campaign, Madison Cawthorn huddled with close allies and awaited..."
26,politics,Trump ally Cawthorn concedes defeat in Republican U.S. House primary in North Carolina,"WASHINGTON, May 17 (Reuters) - First-term U.S. congressman Madison Cawthorn of North Carolina, an ally of former President Donald Trump who has drawn the ire of fellow Republicans over controversial remarks and a nude video, conceded to party primary challenger Chuck Edwards in his House of Representatives race, local news outlet WRAL and CNN reported on Tuesday."
27,politics,Ukrainian Soldiers Bomb Russian Ammo Depot and Tanks on Video,The 45th Air Assault Brigade of the Ukrainian Air Assault Forces said a reconnaissance team identified the enemy base and the presence of Russian trucks entering the complex.
