,categories,headers,contents
0,science,Spectacular ceiling frescoes discovered in the Temple of Khnum at Esna,"In the Temple of Khnum at Esna, Upper Egypt, German and Egyptian researchers have uncovered a series of vibrantly-colored ceiling frescoes. The relief images in the central section of the ceiling, Professor Christian Leitz from the University of Tübingen reports, make up a total of 46 depictions of the Upper-Egyptian vulture goddess Nekhbet and the Lower-Egyptian serpent goddess Wadjet. Both are depicted as vultures with outspread wings. While Nekhbet bears the head of a vulture and the white crown of Upper Egypt, Wadjet can be recognized by the Lower-Egyptian crown topped with a cobra."
1,science,A new law unchains fusion energy,"Physicists at EPFL, within a large European collaboration, have revised one of the fundamental laws that has been foundational to plasma and fusion research for over three decades, even governing the design of megaprojects like ITER. The update shows that we can actually safely use more hydrogen fuel in fusion reactors, and therefore obtain more energy than previously thought."
2,science,Zinc is a metal essential to life – scientists have discovered a protein that helps keep cells alive when zinc levels are low,"All living things, including people, need zinc in their diets. Getting too little of this essential metal can impair growth and cause immune dysfunction, neurological disorders and cancer. Unfortunately, over 17% of the world’s population is at risk for zinc deficiency. The World Health Organization considers this kind of micronutrient-related malnutrition a leading contributor to disease and death.

After you eat a meal, zinc is taken up by the cells of your body. Inside each cell, zinc binds to proteins to support their structure and function. Researchers estimate that up to 10% of all proteins need zinc to properly function. In..."
3,science,The Many Myths of the Man Who ‘Discovered’—and Nearly Destroyed—Troy,"When German businessman Heinrich Schliemann discovered a cache of ancient artifacts in the place now known as Hisarlik, Turkey, in 1873, he was quick to identify the gold jewelry, silver vases and other precious objects as the treasure of Priam, the legendary king of Troy. An amateur archaeologist with a penchant for embellishment, Schliemann smuggled the trove out of Anatolia and touted it as proof of his claim that Hisarlik and Troy, the besieged city immortalized in Homer’s Iliad, were one and the same."
4,science,Octopuses torture and eat themselves after mating. Science finally knows why.,"Many animal species die after they reproduce. But in octopus mothers, this decline is particularly alarming: In most species, as an octopus mother's eggs get close to hatching, she stops eating. She then leaves her protective huddle over her brood and becomes bent on self-destruction. She might beat herself against a rock, tear at her own skin, even eat pieces of her own arms."
5,science,Scientists are developing patch that warns of oncoming drug overdose,"With the United States facing an epidemic of drug overdoses, researchers are developing a wearable patch that can detect an oncoming opioid OD and deliver doses of a drug that could save lives. The Indiana University Bloomington research team has received a three-year, $3.8 million grant from the U.S. National..."
6,science,"A Man Knocked Down His Basement Wall, Discovering Ancient Underground City That Housed 20,000 People","In 1963, a man in the Nevşehir Province of Turkey knocked down a wall in his basement and ended up discovering a gigantic underground city. The man (not named in reports from the time) sledgehammered his wall and found a tunnel behind it, and beyond that, more tunnels. Exploration would later reveal it was an underground city up to 18 stories deep, complete with chapels, schools, and stables."
7,science,Horrifying Discovery: Scientists Find That DNA Mutations Are More Common Than Previously Thought,"Researchers at EMBL Heidelberg found that inversions in the human genome are more common than previously thought, which impacts our understanding of certain genetic diseases. Our DNA serves as a blueprint for the cellular machinery that allows cells, organs, and even whole organisms to work. However, mutations in our DNA can cause genetic illnesses. Point mutations at a single site, as well as deletions, duplications, and inversions, are examples of such DNA mutations."
8,science,"The longstanding Neanderthal Mystery concerning 40,000-year-old bones has finally been solved","The first time the ancient bones of the two-year-old child were discovered was in the late twentieth century. These bones belonging to ancient humans are estimated to be 41,000 years old and were uncovered in the southwestern region of France, La Ferrassie. However, most researchers believed the bones to be intentionally buried by the Neanderthals when the bones were discovered."
9,science,Tomb Saviors: 2 Giants Found in Ancient Graveyard Could Have Been Bodyguards,"Giant statues crafted more than 3,000 years ago could have been guardians of an ancient graveyard, say experts."
10,science,Scientists Figure Out Why Female Octopuses Self-Destruct After Laying Eggs,"After a female octopus lays a clutch of eggs, she does what any new parent would: carefully watch over her progeny. She stays with them in her den, protects them from predators and blows water over them to keep them oxygenated, writes Nicholas Bakalar for the New York Times. But..."
11,science,This Extraterrestrial Stone Found in Egypt Could Be the First Concrete Evidence of Rare Supernova Explosion on Earth!,"There are billions of celestial objects that promenade around the observable universe, and a fraction of them manage to make it to Earth — full of the mystery of their origin and journey. One such object is a stone named Hypatia. Named after the fourth-century female mathematician and philosopher,..."
12,science,Scientists challenge claims that the biblical cities of Sodom and Gomorrah were destroyed by a comet ,Photographic Reproduction of Public Domain Work of Art; Painting by John Martin. Tall el-Hammam is an ancient settlement near the Dead Sea. It is an archaeological site in Jordan that has been the subject of much debate among scientists.
13,science,Scientists find new and mysterious DDT chemicals accumulating in California condors,"When Christopher Tubbs joined an ambitious multinational effort to save California condors from the brink of extinction, he knew the odds of success were long. There were wind turbines that could strike the giant birds and lead bullet fragments in hunted animals that could sicken and kill. But Tubbs, who..."
