,categories,headers,contents
0,sports,Kurt Busch's Wife Files For Divorce From NASCAR Star,"10:05 AM PT -- Busch just released a statement on the matter ... saying, ""I am heartbroken to confirm that my wife Ashley and I are working to dissolve our marriage. Divorce is a personal and private matter and I hope our privacy will be respected."" Kurt Busch's wife has..."
1,sports,Former UNC Basketball Star Reportedly Dead At 46,"Former UNC basketball standout and German men's national team member Ademola Okulaja has reportedly passed away. According to German outlet BIG, the 46-year-old Okulaja has died. A cause of death has not been reported. The son of a German mother and Nigerian father, Okulaja was born in Nigeria but moved..."
2,sports,MLB Pitcher Suspended 80 Games For Positive PED Test,"Milwaukee Brewers pitcher J.C. Mejia has been suspended 80 games by Major League Baseball for violating the sport's PED policy. Mejia, who made two appearances with the Brewers this season, is the second Milwaukee player to be suspended for PEDs in 2022. Catcher Pedro Severino was served an 80-game ban last month for testing positive for Clomiphene, an estrogen modulator which increases testosterone."
3,sports,PGA Championship 2022: Tiger Woods casually dropped an all-time John Daly story from the 2007 PGA,"In his highly entertaining 30 for 30 titled ""Hit it Hard,"" which originally aired in March of 2016, there is a scene that shows John Daly loading groceries on to the checkout counter when someone can be heard asking him ""did you get waters?"" Daly, without missing a beat, responds ""I don't need water, I've got plenty of ice in my Diet Cokes."""
4,sports,Browns Get Bad News on Deshaun Watson's Legal Issues,Deshaun Watson's civil cases pushed back until 2023. Which is bad news for the Cleveland Browns.
5,sports,Two Released WWE Stars Returning To Ring After Hiatus,"Lina Fanene (Nia Jax) and CJ Perry (Lana) are set to return to the squared circle for the first time since their WWE releases last year. The two women will renew their WWE rivalry in a match to crown the first-ever Women’s World Champion of Wrestling Entertainment Series (WES). WES is a new wrestling promotion created by Legion of Pain, FKA The Authors of Pain."
6,sports,49ers Released Tight End On Tuesday Afternoon,"The San Francisco 49ers made some changes to their depth chart at tight end this Tuesday. San Francisco announced that it signed tight end Troy Fumagalli to a one-year deal. In order to make room for him, the team waived tight end Garrett Walston. Fumagalli, 27, was selected by the..."
7,sports,Watch: Former WWE Superstar Confirmed for Marvel's She-Hulk in First Trailer,"Fans of the Marvel Cinematic Universe are buzzing at the moment thanks to the first trailer for She-Hulk's new Disney+ series, but it also contained a surprise for wrestling fans. That's because at one point Tatiana Maslaney's Jennifer Walters is seen going on several dates, and one of her dates is none other than former WWE Superstar David Otunga. Otunga would confirm his role in the show on Twitter, and you'll be able to watch Otunga make his She-Hulk series debut when the show launches on Disney+ on August 17th."
8,sports,Dick Vitale Has 1 Question For The Philadelphia 76ers,"Legendary basketball broadcaster Dick Vitale just posed a question many NBA fans have pondered during this year's postseason. ""How in the world did the [Philadelphia 76ers] ever let [Jimmy Butler] get away? The combo of [Joel Embiid] & Jimmy B would be lethal & they would be playing tonight,"" Vitale wrote on Twitter during Game 1 of the Eastern Conference Finals."
9,sports,NBA Reportedly Considering Major Change To Controversial Rule,"The NBA is reportedly considering a major rule change this offseason. According to league insider Shams Charania, NBA officials are thinking about implementing further punishment for the always-annoying “transition take foul."" Under this new proposed rule, the offensive team would be awarded one free throw and possession after such a foul."
10,sports,CM Punk And More React To Sasha Banks And Naomi Walking Out Of WWE,"On Monday night it was reported that Sasha Banks and Naomi had walked out of Raw, and WWE confirmed the reports. The company issued a statement noting that the two Superstars left their WWE Women’s Tag Team Championship belts on the desk of John Laurinaitis before exiting the arena."
11,sports,Brewers Reliever Suspended After Testing Positive for PEDs Almost Immediately After Call-Up,"After he dominated at Triple-A to open the season, the Milwaukee Brewers added reliever J.C. Mejia last week to the big league roster. Mejia, 25 appeared twice for the big league Brewers annnnnnd was almost immediately popped for PEDs:. It was looking like the Brewers had snaked a stud out..."
12,sports,"""Gisele's Husband"" Tweet Goes Viral: NFL World Reacts","Netflix had a clever tweet about Tom Brady on Tuesday morning. The stream service company referred to Brady as ""Gisele Bundchen's husband"" which has gotten some funny reactions from NFL fans on Twitter. Brady is partaking in a new special titled ""Greatest Roasts of All Time."" That means that some..."
13,sports,Cubs-Pirates benches clear after Vogelbach play at plate,A brief kerfuffle broke out between the Cubs and Pirates Tuesday night after a play at home plate involving Dan Vogelbach and Willson Contreras. Vogelbach tried to score on a fly ball to Cubs right fielder Seiya Suzuki after hitting a standup triple. Suzuki has a good arm and fired a strike home to Contreras.
14,sports,BREAKING: Colts to Add former Pro Bowl Running Back,"According to a report from Ian Rapoport, the Indianapolis Colts are signing running back Phillip Lindsay."
15,sports,Look: Paige Spiranac Has Brutally Honest Message For Fans,"Being a woman in the sports world isn't always the easiest. And former professional golfer turned social media personality Paige Spiranac voiced some of those frustrations, Tuesday. Tweeting out, ""I love when guys give me [expletive] but don’t know the difference between the PGA Tour and the PGA of America.""..."
