,categories,headers,contents
0,technology,"TikToker's Car Handle ""Hack"" Has People Dumbfounded They Never Noticed it Before","It almost always comes as a shock whenever we discover a ""secret"" way to use something we more than likely use or at the very least see nearly every single day of our lives. Take candles for instance: if you design a holder that captures and reshapes all of the wax that's melted, you can effectively have an ""infinity"" candle, or at least one you can re-use several times so you get extra mileage out of one."
1,technology,Cat Caught on Camera Trying To Hack Treat Machine Has Internet in Stitches,"""Looks like he's at the ATM... and forgot his PIN,"" joked one commenter about the viral video."
2,technology,Clearview AI clears the final hurdle in its quest to undermine US democracy,"The ACLU and Clearview AI, a controversial facial recognition company, reached a legal settlement earlier this week that’s been hailed as a huge win by both parties. The big story here is that Clearview AI can no longer sell its databases to third party companies — but that’s not exactly news."
3,technology,"Mark Cuban predicts AI will dominate the future workplace: To be successful, 'you're going to have to understand it'","Whether you're an entry-level employee or a CEO, you probably need to understand the internet and mobile technology to succeed. Next on that list, says Mark Cuban: artificial intelligence. On a recent episode of ""The Colin Cowherd Podcast,"" hosted by Fox Sports anchor Colin Cowherd, the billionaire – whose first..."
4,technology,Your iPhone has a hidden photo menu that unlocks genius feature,"There’s a hidden menu for your iPhone Photos app that you can access in seconds.

A clever gesture will quickly unlock some fast-access features for the app.

It’s all linked to an Apple feature called Quick Actions, and works from the Home Screen.

Simply long-press on an app icon to unlock a hidden iPhone menu.

It might not work for all apps, but many support this feature.

And that includes Apple’s own Photos app.

Hold your finger down on the Photos icon and a menu will pop up.

The top two options are Apple-specific Quick Actions.

One is to simply remove the app from the Home Screen, and another lets you move the app around.

But the bottom four..."
5,technology,"Russia is resorting to putting computer chips from dishwashers and refrigerators in tanks due to US sanctions, official says",US commerce secretary Gina Raimondo said Wednesday that exports of US technology to Russia have fallen by 70% as a result of sanctions.
6,technology,"The V.A. Bought 10,000 iPhones for Veterans. 8,544 of Them Were Never Used.","The U.S. Department of Veterans Affairs (V.A.) lost nearly $2.4 million on data plans for iPhones and iPads that were supposed to help homeless veterans connect to telehealth services. Ultimately, 85 percent of the iPhones meant to be loaned went unused and remained in storage one year after their purchase, according to a new inspector general's report."
7,technology,Talking about white privilege online can backfire,"If there’s an online discussion about race, using the term “white privilege” can create a polarized situation, researchers report. The mention of white privilege can create internet discussions that are less constructive, more polarized, and less supportive of racially progressive policies, says Christopher Quarles, a doctoral student at the School of Information at the University of Michigan and the study’s lead author."
8,technology,Bethesda Makes Popular Game Free for Limited Time,"A popular Bethesda game is now available for free, courtesy of the Epic Games Store. The Epic Games Store is currently giving not one, not two, but three free games until next Thursday. Two of these games are Jotun: Valhalla Edition and Redout: Enhanced Edition. The third, the most notable, is Prey. Developed by Arkane Studios -- the team also responsible for the likes of Dishonored and Deathloop -- Prey was released back in 2017. Depending on the platform, its Metacritic scores vary, with the highest being on Xbox One, where it has an 84. At release, the game flew under the radar of many. Years later, it's developed into a bit of a cult classic as more and more people discover an appreciation for the immersive sim and the closet thing we've gotten to BioShock since BioShock."
9,technology,We can’t believe how cheap OLED TVs are at Best Buy today,"When OLED TVs were brand-new, you had to spend thousands of dollars to get this cutting-edge technology into your home. Nowadays, you can find amazing OLED TV deals with perfect blacks and stunning colors without breaking the bank! You can find some of the best offers on OLED screens among the Best Buy TV deals. For example, we found two excellent TVs from Sony and LG, starting at just $1,000. Keep reading to discover why your next TV should be an OLED."
