,categories,headers,contents
0,weather,"Bad news for the 2022 hurricane season: The Loop Current, a fueler of monster storms, is looking a lot like it did in 2005, the year of Katrina","The Atlantic hurricane season starts on June 1, and the Gulf of Mexico is already warmer than average. Even more worrying is a current of warm tropical water that is looping unusually far into the Gulf for this time of year, with the power to turn tropical storms into monster hurricanes.

It’s called the Loop Current, and it’s the 800-pound gorilla of Gulf hurricane risks. 

When the Loop Current reaches this far north this early in the hurricane season – especially during what’s forecast to be a busy season  – it can spell disaster for folks along the Northern Gulf..."
1,weather,Huge African Dust Cloud Expected to Hit Louisiana Next Week,"Brace yourself, next week is going to be a little weird. I know that that's a bold statement after the last two years, but when a dust storm blowing in from the other side of the world starts setting off alarms all across the south - I'm going to place in that into the ""unusual"" column."
2,weather,"Climate change swells odds of record India, Pakistan heatwaves","Climate change makes record-breaking heatwaves in northwest India and Pakistan 100 times more likely, a Met Office study finds. The region should now expect a heatwave that exceeds the record temperatures seen in 2010 once every three years. Without climate change, such extreme temperatures would occur only once every 312..."
3,weather,"Earthquake Swarm in Florence, Italy, as People Report Tremors Since Early May","Earthquakes have been recorded in Florence and its surrounding areas in Italy since early May. Despite the low-intensity tremors of an earthquake swarm, there is a growing concern amongst Italian residents near the epicenter. US geologists and other experts in the field have along described earthquake swarms to lack the..."
4,weather,Powerful Earthquakes Caused by Blood Moon,"The Blood Moon of May 2022 kicked off substantial seismic activity.(ozgurdonmaz/iStock) On a daily basis, some earthquakes are expected. Only hours after the Super Blood Moon, earthquakes have been hitting all over the globe."
5,weather,Derecho damages property – and breaks hearts,"Everyone will remember the day that the Big Storm hit. The derecho – a soot-black, boiling thunderhead that was hundreds of miles wide – rolled over large sections of our region last week. Everyone will remember where they were and what they were doing. My wife and I..."
6,weather,First Alert Weather: CBS2's 5/18 Wednesday forecast,"Forecast: Expect a sunny morning with some clouds mixing in this afternoon. Highs will be in the low 70s. Clouds thicken this evening with rain filling in overnight through daybreak. As for tomorrow, the rain exits around 8/9 AM with breaks of sun in the afternoon. Highs will be in the 70s again. Looking Ahead: Friday will be mostly sunny with highs closer to 80. Temperatures soar on Saturday with highs in the 80s and even 90s -- feeling more like summer! The heat sticks around on Sunday, but there's a chance of showers/thunderstorms in the afternoon and evening.
"
7,weather,Blood Moon Causes Intense Earthquakes Across the Globe,"The British Geological Survey (BGS) explains the connection between the recent blood moon and earthquakes. On May 16, a lunar eclipse occurred for a brief moment during the fifth full moon of the year. This resulted in a reddish tinge to the extraterrestrial body as seen from Earth. Stargazers and..."
8,weather,Severe weather to rumble through storm-weary Midwest,"Following destructive thunderstorms that tore through portions of the Central states last Thursday, AccuWeather forecasters are monitoring the next potential round of severe weather in a similar area. Tranquil weather was in place across the northern Plains and Upper Midwest for days, but the silence was broken in part of..."
9,weather,"Climate change will force big shift in timing, amount of snowmelt across Colorado River Basin","New research predicts that changes in mountain snowmelt will shift peak streamflows to much earlier in the year for the vast Colorado River Basin, altering reservoir management and irrigation across the entire region. ""Because of global climate change, areas of Colorado, Utah and Wyoming could have much less water, and..."
