,category,header,content
0,food,Tips for Eating Healthy on a Road Trip,"When staying in hotels —  Food for the Nobles Peas and beans, in… Alfredo with a fried chicken breast 😃 This delicious, airy Lemon Chiffon Cake is so moist and light! …"
1,food,3 Heart Benefits of Dark Chocolate,"“All you need is love. But a little chocolate now and then doesn’t hurt.”
― Charles M. Schulz DARK CHOCOLATE IS CHOCK FULL OF MINERALS, including zinc, iron, and magnesium. The cocoa in my beloved dark chocolate has antioxidants (flavonoids) that may enhance your health. Do you eat chocolate? I… Taking a taxi back to the house of a woman I had only just met, I assumed I knew what would happen at the conclusion of our drive."
2,food,Case study: Foodpalace,"In this case study, I’ll walk you through the design thinking process I adopted in creating interfaces for a food delivery app. Context Have you ever spent long hours waiting for meals that never seem to get to you on time? Have you ever found yourself begging God that if you… That said, if you… Easy-to-make zucchini spaghetti, known as zoodles, is wholesome, homemade and delicious."
3,food,Things to Do at Our Libraries (May 2022),"Food and shelter are two of our most basic needs. This May, learn how to maximise your resources when buying a home and how to make meals that’ll keep you in good shape (without sacrificing flavour!). … It’s been one year since I moved to Goa, and I’ve discovered many restaurants which have amazing food… This soup is a hit with my guests! I serve it as an appetizer and people said that they feel they are eating dessert!"
4,food,Kitchen Therapy,"How I fight stress and anxiety. Kitchen therapy is what I rely on when I am feeling anxious. The stress of the last two years in particular, when the world no longer felt like a safe place to move around and be with others, seemed to bring whatever anxiety I… There I was, traveling along in my car, bellowing along with Adele as she set fire to the rain. (Isn’t it amazing how the lack of witnesses can…"
5,food,A Broken Fridge Showed Me I Can Get By With A Lot Less Food,"aka Minimalism in the Kitchen Did you know you can get by with much less space in a refrigerator than you’re used to? It started with wet ice cubes and progressed to liquid juice containers in the freezer. NOT GOOD! So I checked the temperatures in the fridge and freezer… It’s an interesting subject, as weight loss and weight gain are achieved in very similar ways. The only significant difference is the ratio and…"
6,food,Demystifying Food Tech one Bite of Cacao-Free Chocolate at a Time,"Food technology, when you stop to think about it, seems to be quite the oxymoron. (Maybe even more so than jumbo shrimp.) Food, something so deeply tied to human culture and tradition, is almost inarguably antithetical to technology as we often perceive it. And when we put those ideas together… Food was scarce after the long war (1975). But Bui hardly knew the scraping since his mom always made food “glamorous”. Firm young jackfruit for soups, ripe ones for desserts. Yummm. She always prepared them with love and a story for the kids."
7,food,Korean Air Fryer Fried Chicken with Tartar Sauce Rice Bowl,"My version of Chicken Nanban. —  I always love good fried chicken and I think the Korean style of preparing is one of the most delicious ways to enjoy it. This recipe uses the air fryer to cook the fried chicken so lesser oil is used in the process. The key here is to get your… My acupuncturist was the… Baked Veggies Seafood Poultry Veggie Dip Make a batch of it and keep it in a glass jar, refrigerated for the whole week."
8,food,Six Weight Loss Essentials I’ve Lived by for Years — That Work Wonders!,The straightforward seven-step plan you should adapt to —  Thankfully I’m now in a position where I don’t have to lose weight — which has become a nice little comfortable zone. But that zone can quickly turn the other way if I stop paying attention to my mindset & food intake. Thankfully I now catch myself when I begin…
9,food,FIRST POST!,"So… this is my first post! Hi there and welcome! I keep reading about all the successful content creators on Medium and it’s all very inspiring and overwhelming at the same time. All you have to do is start writing. Simple right? At least that’s what some of them say… Your brain is a component of the central nervous system. It serves as the control center of your body. For example, it keeps your lungs breathing and your heart beating. With your brain, you can feel, think…"
