,category,header,content
0,weather,Dry Like Ground Beneath a Cactus,
1,weather,The Fifth Season of The Year Has Started And The Western US Braces For Another Scary Year,
2,weather,"How Can You Turn $100 into $400,000???",
3,weather,Four Tornados With a Side of Lightning,
4,weather,Lightning Child,
5,weather,Living Alaska — What is the Temperature?,
6,weather,An icy secret buried deep in the Arctic region of Canada,
7,weather,"How My Twitter Account Earned 188,000 Impressions in 2 Months",
8,weather,Splish Splash: A History of Rain Boots,
9,weather,Fo(e)hn,
