,categories,headers,contents
0,business,New White House press secretary blasted for botching answer to inflation question: ‘Excruciating to watch',"New White House press secretary Karine Jean-Pierre’s first official day on the job was marked by mockery as conservatives on Twitter slammed her for failing to handle a question on inflation. On Monday, Fox News White House correspondent Peter Doocy asked Jean-Pierre about a recent President Biden tweet claiming..."
1,business,"Walmart and Amazon aren't seeing a labor shortage — they've had too many workers, and now it's taking a financial toll",Several weeks of overstaffing resulted in wage pressure for Walmart and productivity declines at Amazon.
2,business,Walmart’s Customer ‘Switching’ Shows Inflation Hitting the Paycheck-to-Paycheck Consumer,"For Walmart, the paycheck-to-paycheck economy — and its pressures — dictate how the retailing giant’s fortunes will fare, especially over the near term. At this writing, shares are slumping more than 11% on the heels of an earnings report that clearly shows the impact of inflation. Certainly within the company’s supply chain (and thus some negative margin impact), and rippling down to the consumer level."
3,business,Disney CEO Bob Chapek Opens Upfront By Touting The Company As “The Most Powerful Force In The Industry”,"Click here to read the full article. Disney CEO Bob Chapek opened Disney’s upfront in New York by telling a crowd of several hundred advertisers that the company is “the most powerful force in the industry” and “the most enduring and beloved name in entertainment.”
After a bumpy start to 2022, at least in terms of public perception, Disney has delivered positive results recently, reporting streaming gains and improved theme park revenue in the quarter ending in early April. The upfronts crowd has been anticipating the Disney presentation with particular relish since the news earlier this year that Disney+ is poised..."
4,business,Musk did not seek due diligence and the $44b deal will be completed: Twitter,"The Twitter buyout saga led by Elon Musk continues -- the billionaire has clarified comments he made at the All-In Summit in Miami regarding his belief that 20% of accounts on the platform are fake or spam, an issue that's led Musk to declare the $44 billion acquisition on hold."
5,business,The company buying Trump's social network Truth Social warned investors about his history of bankruptcy and failed business ventures,"In a filing Monday, Digital World highlighted the failures of Trump Taj Mahal, Trump University, and Trump Vodka, among other ventures."
6,business,"The Ukrainian Founders Didn't Think Russia Would Invade, but They're Glad They Planned for It Anyway","For one small Ukrainian company, conflict has become a key mile marker. Fashion editors Kate Zubarieva, 33, and Asya Varetsa, 31, conceived of the idea for their fashion label, Sleeper, during the 2014 Revolution of Dignity--a five-day clash between protesters and the Ukrainian government in Ukraine's capital, Kyiv, which eventually led to the ousting of the country's president, Viktor Yanukovych. Then, in February 2022, after Russia invaded the country, the Ukrainian company rapidly laid down manufacturing roots in another country."
7,business,Garage-door maker employees get cash reward in takeover as private equity tests ownership model,"In the otherwise-sleepy town of Arthur, Illinois, this week brought a life-changing surprise for hundreds of workers at locally based garage-door maker, C.H.I. Overhead Doors. C.H.I.'s private equity owner, KKR, is selling the company to steel manufacturer Nucor in a $3 billion deal. The sale marks one of KKR's largest returns in recent history, generating a massive windfall for both the firm and — uniquely — C.H.I.'s employees, from truck drivers to factory workers."
8,business,Disney announces new 2022 LGBTQ+ clothing collection for kids,"Disney released a new LGBTQ+ clothing line for children on Monday amid the company's feud with Florida Republicans and Gov. Ron DeSantis over the state's new parental rights law. The clothing line features the rainbow Pride flag printed on T-shirts, baby clothes, bracelets, sweaters, socks, backpacks and other items. Several..."
9,business,"Wrong, Elon Musk: the big problem with free speech on platforms isn't censorship. It's the algorithms","Imagine there is a public speaking square in your city, much like the ancient Greek agora. Here you can freely share your ideas without censorship. 

But there’s one key difference. Someone decides, for their own economic benefit, who gets to listen to what speech or which speaker. And this isn’t disclosed when you enter, either. You might only get a few listeners when you speak, while someone else with similar ideas has a large audience. 

Would this truly be free speech? 

This is an important question, because the modern agoras are social media platforms – and this is how they..."
