,categories,headers,contents
0,entertainment,"Brittney Griner's Wife, Cherelle, Shares Heartbreaking News","A phone call between Brittney Griner and her wife, Cherelle Watson, that had been scheduled for nearly two weeks never took place last Saturday. Griner was supposed to be granted access to a phone call on Saturday. What's the occasion? Their fourth wedding anniversary. It would have been the first..."
1,entertainment,Prominent Sports Announcer Leaving CBS In Stunning Move,"After spending 16 years with CBS Sports and the Golf Channel, Sir Nick Faldo has decided to retire. He announced that decision on Twitter this Tuesday. Faldo revealed that his last day in the broadcast booth for CBS will be on Aug. 7 for The Wyndham Championship. ""This past January..."
2,entertainment,"Whoopi Goldberg: More than 36,000 people sign petition to remove star from The View"," A petition calling for Whoopi Goldberg to be removed from The View has reached more than 36,000 signatures.In the 31 January episode of The View, Goldberg made the controversial claim that the Holocaust “is not about race”.At the time, Goldberg was discussing a Tennessee school board’s controversial decision to ban Maus, a graphic novel about the Holocaust, in which six million Jews were murdered by the Nazis.Goldberg said: “Let’s be truthful about it because the Holocaust isn’t about race. No. It’s not about race!”She repeatedly tried to prove her point that the Holocaust was about “man’s inhumanity to man”..."
3,entertainment,Kelly Clarkson Takes Back Montana Property After Fighting Ex Brandon Blackstock For Months. He Didn't Go Quietly,"Brandon Blackstock is out of the Montana ranch, but he's reportedly still causing trouble for Kelly Clarkson."
4,entertainment,Travis Scott praises Kylie Jenner for ‘throwing that ass down’ in rare post,"Travis Scott showed Kylie Jenner how much he appreciates her assets in a rare social media post during Father’s Day on Sunday.

“Shawty in here throwing that ass down,” the rapper, 31, wrote atop an Instagram Story photo of the makeup mogul’s backside, which he snapped while she was cooking over the stove.

Jenner, 24, was wearing a white tank top tucked into a pair of tie-dye jeans that showed off her curves in the since-deleted snap, which was captured by The Neighborhood Talk.

While it’s unclear whether the picture was taken in real time, it appears Jenner was in the middle of..."
5,entertainment,Katharine McPhee Shares First Photo of Son Rennie's Face in Father's Day Tribute to David Foster,"Katharine McPhee is sharing a closer look at her son with David Foster. The actress and singer, 38, shared a series of photographs on Instagram Sunday in honor of Father's Day. Among the carousel of shots is one image of McPhee and Foster, 72, with their son Rennie, whose face..."
6,entertainment,Peta Murgatroyd Reveals She Suffered Miscarriage While Husband Maks Chmerkovskiy Was in Ukraine,"Peta Murgatroyd vividly remembers lying in the hospital bed, still reeling from the scene hours earlier at her Malibu home, where a team of medics had loaded her into an ambulance as her 5-year-old son watched. Murgatroyd, 35, had placed the call when she found herself lying on her little..."
7,entertainment,Pharrell Williams Stops Music Festival Show Twice to Let Fallen Fans Out of the Crowd: 'What We Do',"Pharrell Williams is all about the safety and wellbeing of his fans. The musician, 49, stopped his performance multiple times during the second day of the Something in the Water Festival on Saturday, after two fans apparently suffered medical emergencies. In one video shared online by Fox 5 DC, Williams..."
8,entertainment,X Factor's Tom Mann heartbroken after wife-to-be's sudden death on wedding day,"X Factor star Tom Mann is devastated after his wife-to-be, Dani Hampson, suddenly died on their wedding day. The singer updated fans with a heartbreaking Instagram post where he said he is ‘completely broken’. Tom, from Stereo Kicks, revealed the mother of his eighth-month-old infant son, had died..."
9,entertainment,"Michelle Pfeiffer, 64, Rocks Black Midi Dress For Rare Red Carpet Appearance: Photos","Michelle Pfieffer made a rare — and completely breathtaking — red carpet appearance on Monday, June 20 for the Paramount+ UK launch! The Grease 2 beauty, 64, slayed in an elegant black midi dress with puff sleeves, and a wraparound waist design. She rocked matching black heels, along with simple gold hoop earrings, and wore her blonde hair long and wavy."
10,entertainment,Look: Alex Rodriguez's Girlfriend Shares Racy Workout Video,"Alex Rodriguez's new girlfriend, Kathryne Padgett, has been enjoying some time overseas. But the fitness model and body builder is still managing to get some workouts in. Monday morning, Padgett shared a racy yacht-themed workout video on Instagram. Padgett and Rodriguez have reportedly been dating for several months. They were..."
11,entertainment,Woman calls out long list of male celebrities she claims rejected her on exclusive dating app Raya," A woman has shared a list of celebrities who she claims rejected her on Raya, a membership-based app that can be used for dating. According to its official website, Raya aims to create a safe community in which people can “meet and engage with others” around the world. However, in order to have access to Raya, users have to complete a brief application and when accepted, they have to pay a membership fee.As many celebrities have also said that they’ve used Raya as a dating app, one woman named Riley (@rileyfauria) has shared a series of TikTok videos about..."
12,entertainment,Khloe Kardashian Dating Private Equity Investor After Tristan Thompson Breakup,"Watch: Khloe Kardashian Addresses DATING Rumor After Tristan Thompson Split. Khloe Kardashian is no longer keeping up with Tristan Thompson. E! News can confirm that the Good American CEO, 37, is now dating someone new—a private equity investor who was introduced to her through her sister, Kim Kardashian, at a dinner party a few weeks ago. A source told People, who was first to report the news, the ""relationship is in its early stages."""
13,entertainment,"'Little People, Big World': Tori and Zach Roloff Say Son Is Not Progressing After Leg Surgery (Exclusive)","Jackson's had his leg surgery, but the worrying hasn't stopped for his mom and dad. In a new clip from the next episode of Little People, Big World, shared exclusively with ET, Tori and Zach Roloff are voicing their concerns after their firstborn isn't showing improvement following his leg surgery six months earlier."
14,entertainment,'X Factor' Star Tom Mann's Wife Dies on Wedding Day,"""The X Factor"" star Tom Mann suffered a horrible tragedy over the weekend ... his fiancee died just hours before their wedding. Dani Hampson, a 34-year-old publicist, had no apparent health issues and the cause of her death has not been revealed. She had posted pics of her and Tom,..."
15,entertainment,Bradley Cooper wants the director who mocked his 7 Oscar nominations to go f—k himself,"Bradley Cooper has scored multiple Oscar nominations for acting, writing, and producing, but some will forever see the multi-hyphenate as the guy bleating like a seal in Wedding Crashers, the guy having sweaty sex in a tool shed in Wet Hot American Summer, or the guy with the hangover in The Hangover. That includes some of Hollywood's biggest names, apparently."
16,entertainment,Lauryn 'Pumpkin' Shannon Reveals First Photos of Newborn Twins,"Lauryn ""Pumpkin"" Shannon, daughter of Mama June Shannon, shared the first public photos of her newborn twins with Page Six Monday. Shannon, 22, and her husband, Joshua Elfird, welcomed twins in May. Shannon is also mom to daughter Ella, 4, and son Bentley, 1. The photo shows the newborns in..."
17,entertainment,Pumpkin Squeezes Honey Boo Boo Tightly In First Selfie Together Since Mama June Lost Custody,"It has been over two months since Mama June, 42, lost custody of her 16-year-old daughter Alana “Honey Boo Boo” Thompson to Alana’s older sister Lauryn “Pumpkin” Shannon. In a Father’s Day tribute to her husband Josh Efird, on Instagram, Pumpkin, 22, included an adorable photo of her squeezing her sister — while throwing some subtle shade at her newly-married mom! In photos shared on Sunday, June 19, Pumpkin addressed the Georgia court ruling and told Josh — who is also the father to their 4-year-old daughter Ella and 11-month-old son Bentley, as well as twins who were born in May — “Thank you for being the best father to all of our babies, including Alana.”"
18,entertainment,Claudia Jordan Says Russell Wilson Is a 'Throwback to How Black Men Used to Carry Themselves Before We Got Ratchet',"Ciara's NFL superstar husband, Russell Wilson, is ""goals"" for many women on social media, but he often faces criticism for being the nice guy. ""Cocktails With Queens"" co-host Claudia Jordan defended Wilson during a recent episode of the show after Channing Crowder labeled him a ""square."""
19,entertainment,Jared Goff Engaged to Sports Illustrated Swimsuit Model,"Jared Goff is getting married. On Saturday, Sports Illustrated Swimsuit model Christen Harper went to Instagram to announce she is getting married to the Detroit Lions quarterback. In the post, Harper shared a video of her and Goff embracing each other while showing off her engagement ring. And in the caption, Harper wrote, ""6.16.22 can't wait for forever with you."""
20,entertainment,Khloe Kardashian Shares Video of Dream and True's First Dance Recital: 'They Were Perfection',"Khloé Kardashian showed her support for daughter True Thompson, 4, and niece Dream Kardashian, 5, at their debut dance recital on Sunday. ""Today was incredible! Our girls had their first dance recital and they were perfection!!!!"" Kardashian, 37, wrote alongside an Instagram post with highlights from the day. ""I am so proud of all four of my girls! 🤍🤍"""
21,entertainment,"'Little People, Big World': Zach and Tori Roloff Share Disappointing News on Son Jackson's Condition","Little People, Big World stars Zach Roloff and Tori Roloff shared sad news about their son Jackson, who underwent leg surgery in November to correct the bowing in his legs. The ongoing season of LPBW has shown the 5-year-old's recovery process, which is not proceeding as well as his parents hoped. In a clip from the next new episode published at Entertainment Tonight, Tori and Zach talked about their concerns."
22,entertainment,'Teen Mom' Star's Sister Is Pregnant With Twins,"The Teen Mom family is adding two new members! Victoria Messer, sister of Teen Mom 2's Leah Messer, confirmed Sunday that she and her husband, Royer Rodriguez, are expecting twins – a baby boy and a baby girl. The couple shared their big news on Instagram while sharing footage of their big reveal, which entailed tossing powder-filled baseballs into the air and hitting them with a bat. When Rodriguez hit his, blue powder exploded, and Victoria was covered in pink powder upon smacking hers down."
23,entertainment,Travis Barker Shares Father's Day Cards from Kourtney Kardashian's Kids Penelope and Reign,"On Monday, the Blink-182 drummer, 46, posted sweet pictures of Father's Day cards he received from his wife Kourtney Kardashian's kids — Penelope, 9, and Reign, 7 — whom she shares with her ex Scott Disick. ""You are so so nice and kind,"" wrote Penelope, who drew eight..."
24,entertainment,Nick Jonas Shares Adorable Pic With Daughter Malti on His First Father's Day,"Watch: Inside Nick Jonas & Priyanka Chopra's Life as Parents. Nick Jonas is a sucker for dad life. The Jonas Brothers musician the most adorable photo in honor of his first Father's Day with his ""little girl"" Malti Marie Chopra Jonas, who he shares with wife Priyanka Chopra. In the..."
