,categories,headers,contents
0,politics,"US, Iran in tense sea incident; Tehran preps new centrifuges","DUBAI, United Arab Emirates (AP) — A U.S. Navy warship fired a warning flare to wave off an Iranian Revolutionary Guard speedboat coming straight at it during a tense encounter in the strategic Strait of Hormuz, officials said Tuesday. The incident on Monday involving the Guard and the Navy..."
1,politics,Proud Boys Member Kept Behind Bars as Federal Judge Rules That His Speedy Trial Clock Hasn’t Yet Expired,"Thirteen times isn’t the charm for a Proud Boys member whose attorneys have filed a baker’s dozen motions for his pre-trial release. Ethan Nordean, one of the men charged in the Proud Boys seditious conspiracy indictment, can’t cite the speedy trial clock to win his freedom before his August trial, a federal judge ruled on Monday."
2,politics,"Ten weeks after escaping Kabul, a women's rights activist found herself in Texas without food, money and three of her kids","Roshan Mashal had been fighting for women’s rights in Afghanistan for more than a decade when the Taliban took over in August. Their lives in peril, she and 18 other prominent activists targeted by the Taliban were given seats on a flight and airlifted with their families out of Kabul. Their evacuation was arranged with the aid of women’s rights organizations and the State Department."
3,politics,"In Negotiations Over the 'Boyfriend Loophole,' Republicans Show More Concern for Due Process Than Democrats","As a bipartisan group of negotiators hammers out a gun control package that will have enough support to pass the Senate, one seemingly uncontroversial proposal—closing the ""boyfriend loophole"" for firearm purchases—has proven unexpectedly contentious. Democrats want to expand the disqualification for people convicted of misdemeanors involving domestic violence beyond the current categories, while Republicans worry that the resulting legislation will rely on nebulous definitions and lack appropriate due process safeguards."
4,politics,"As More Information Comes In, Jan. 6 Panel Plans at Least One Additional Hearing","After originally saying it would hold six hearings, the committee is now planning a seventh, as more evidence comes in."
5,politics,Moscow fumes over EU blockade of Baltic outpost,"KYIV, June 21 (Reuters) - Russia summoned the European Union's ambassador in Moscow on Tuesday, fuming over a rail blockade that has halted shipments of many basic goods to a Russian outpost on the Baltic Sea, the latest stand-off over sanctions imposed over the war in Ukraine. On the ground..."
6,politics,"Vladimir Putin Shot Down MH17 Flight To Take Revenge On U.S. For MH370 Attack, Theory Claims ","Expert Florence De Changy has made a connection between the missing MH370 and the downing of the MH17 flights. She reportedly believes that Vladimir Putin could have given the order to shoot down the latter to ""cozy up"" to Xi Jinping."
7,politics,Pics: Iranian gunboat nearly collides with US warship while charging it head-on in hour-long harassment,"Three armed Iran’s Islamic Revolutionary Guard Corps Navy (IRGCN) speedboats harassed a pair of U.S. warships for an hour as they transited the Strait of Hormuz on Monday. One of the Iranian speedboats drove head-on at one of the U.S. warships, risking a collision as it came within 50 yards and changed course at the last second."
8,politics,GOP House candidate slammed ‘dumb and hungry’ Black people,"If it seems like the public keeps learning more about Carl Paladino’s ugly rhetorical record, it’s not your imagination. CNN reported on the latest evidence. New York Republican congressional candidate Carl Paladino told a radio host in late 2016 that Black Americans were kept “dumb and hungry” so they could be conditioned to only vote for the Democratic Party, saying, “You can’t teach them differently.” Paladino, then a Buffalo school board member, was defending himself against allegations that previous comments he made were racist and said he cared about Black people, but they had been conditioned to be a base for the Democrats."
9,politics,Mike Pence inundated with criticism for calling Joe Biden the most dishonest president ‘in his lifetime’," Former vice president Mike Pence, who was victimised by Donald Trump for refusing to illegally throw the 2020 election result out of Congress on 6 January 2021, has slammed Joe Biden as the most falsehood-prone president of his lifetime.Mr Pence gave his opinion in an interview with Fox Business Network host Larry Kudlow, who also served as director of the National Economic Council under Donald Trump from 2018 to 2021.The interview was primarily focused on the state of the economy, which Mr Pence addressed in the latest of a round of major speeches he has been giving across the..."
10,politics,End of controversial Supreme Court term looms,"There are 18 cases remaining on the Supreme Court's docket before the current term ends. Several highly-anticipated rulings may determine the future of abortion and gun rights in the U.S. Deborah Pearlstein, professor at Cardozo School of Law and co-director of the Floersheimer Center for Constitutional Democracy, joined CBS News' John Dickerson to discuss."
11,politics,US building new military facility near China,"The U.S. military is expanding a facility in the Pacific island territory, Northern Mariana Islands, preparing it as an alternative location for military aircraft to land if the U.S. territory of Guam is targeted in a future conflict with China. Satellite images taken earlier this month and revealed last week..."
12,politics,Contaminated Dog Food Sold in West Virginia,Contaminated Dog Food Sold in West VirginiaSCDN photo archives. The FDA is warning West Virginia pet parents about contaminated dog food. The agency says a popular brand of pet food could be contaminated with salmonella bacteria.
13,politics,The Jan. 6 hearings spotlight a Trump smoking gun in Georgia,"As the House Jan. 6 committee continues to present its compelling case against former President Donald Trump, we believe that conclusive proof of his illegal effort to steal the presidential election is hiding in plain sight. It is the tape of Trump’s Jan. 2, 2021, call urging Georgia Secretary of State Brad Raffensperger to just “find 11,780 votes.” The tape should provide a simple case for criminal prosecutors to bring against Trump after the hearings."
14,politics,Joe is 'not fine': Watters rips media's latest cleanup for Biden after bike tumble,"The media continues to refuse to critically analyze the physical and governing competence of President Biden, Jesse Watters said Monday on ""The Five,"" after the president fell off his bike while at a full stop in front of a small crowd over the weekend. Biden had been riding on a..."
15,politics,Prince Andrew: Duke of York could lose title if bill becomes law,"A new bill could be used to strip Prince Andrew of his title as Duke of York if it becomes law, an MP has said. York Central Labour MP Rachael Maskell said there was currently no mechanism to deprive a peer of their title. She said her bill would address..."
16,politics,The Late Show: Stephen Colbert says staff arrests at Capitol were ‘first degree puppetry’ not ‘insurrection’," Stephen Colbert used his opening monologue on The Late Show  to talk about his staff being arrested at the US Capitol last week.Seven people on the show’s production team including Robert Smigel, the puppeteer and voice behind Triumph the Insult Comic Dog, were detained in the Longworth House Office Building by US Capitol Police. The team had been there interviewing politicians after the third public hearing by the House panel investigating the 6 January 2021 Capitol riot, when Donald Trump supporters stormed the meeting place of US Congress.Colbert said on Monday (20 June): “Thursday evening, after they’d finished..."
17,politics,Buffett's Dairy Queen Loses Lawsuit Over 'Blizzard' Name,"(Reuters) - A federal judge ruled that Dairy Queen cannot stop W.B. Mason Co from selling ""Blizzard"" bottled spring water, the same name the unit of Warren Buffett's Berkshire Hathaway Inc uses for a popular ice cream product. In a 217-page decision made public on Friday, U.S. District Judge Susan..."
18,politics,US Supreme Court: The woman who could end Roe v Wade,"In September 2021, Mississippi's chief legal officer sat down for an interview with Pro-Life Weekly, a Catholic television programme featuring anti-abortion activists. Lynn Fitch looked how she almost always does during public appearances: dyed-blonde hair blow-dried straight and neat, tasteful jewellery and a monochrome suit, this time in powder blue."
19,politics,Kremlin won’t rule out executing American veterans captured in Ukraine: ‘They should be punished’," Two American military veterans who were captured while volunteering with the Ukrainian army could face death sentences at the hands of pro-Russia separatists, according to the Kremlin.Russian president Vladimir Putin’s spokesperson, Dmitry Peskov, told NBC News on Monday the Russian government couldn’t guarantee what would happen to the “soliders of fortune”.“They should be punished,” he said, adding, “It depends on the investigation.”US veterans Alexander Drueke and Andy Huynh, who traveled to Ukraine to battle against Russian forces, were reported misisng by their families last week.Recently aired videos on Russian state TV suggest the pair is alive and in captivity.The..."
20,politics,US intel officials admit they didn't see that Russia's military was a 'hollow force.' Here's what they did see and how they missed it.,Four months of fighting in Ukraine has revealed the gaps in what US intelligence agencies knew about the Ukrainian and Russian militaries.
21,politics,Biden Open to Sending Americans Money to Pay for Gas,"Biden told reporters that gas rebate cards are ""part of what we're considering."""
22,politics,VP Harris botches Juneteenth history lesson about ‘400 years of slavery’,"Vice President Kamala Harris bungled a history lesson about the Juneteenth holiday Monday, telling kids that black people were enslaved in America for 400 years — overstating the actual time period by more than 150 years.

“I think that we all know today is a day to celebrate the principle of freedom,” Harris told a group of about two dozen elementary school-aged children at the National Museum of African American History & Culture in Washington. “And think about it in terms of the context of history, knowing that black people in America were not free for 400 years of slavery.”

“Let this..."
23,politics,Ex-Disney exec on Florida ‘Don’t Say Gay’ flap: ‘They pissed off the left and the right’,"The Walt Disney Co. erred in its handling of the controversy surrounding the so-called “Don’t Say Gay” law in Florida to the point that the company alienated its allies on both sides of the political divide, according to current and former executives.

“In a short period of time they managed to piss off both the left and the right,” a former senior Disney executive told Financial Times.

The company initially angered its LGBTQ workforce and their supporters by declining to take a stand against a bill that began circulating in the GOP-controlled Florida state legislature in January.

The “Don’t Say Gay” bill, as..."
24,politics,Ukraine Kills 106 Russian Troops Monday in Contentious Donbas Region: UTG,"Ukraine's Operational and Tactical Group ""East"" also said a significant amount of military supplies and equipment were destroyed on Monday."
25,politics,Mike Pence says no president in his lifetime has lied as often as Joe Biden. Um...,This was an actual exchange between former Vice President Mike Pence and Fox Business Network host Larry Kudlow on Monday:
26,politics,The Texas Republican Party just voted 'overwhelmingly' to reject the legitimacy of Biden's 2020 election win and is trying to stir up fear about 'possible fraud' in the upcoming midterms,Dozens of failed lawsuits and countless conspiracy theories over the validity of the 2020 election have been rebuked in the past two years.
27,politics,2 Watergate panel members compare Nixon probe to January 6 investigation: 'There wasn't really the cult of Richard Nixon as there was the cult of Donald Trump',"""You would never get that level of bipartisanship today,"" said Michael Conway, who served as the judiciary committee's counsel during the Nixon probe."
28,politics,Here's what you need to know about the 'boyfriend loophole' holding up gun safety negotiations,"""It's now or never."""
29,politics,State Department says it 'deeply' regrets Brittney Griner was unable to speak with wife due to 'logistical error',"A State Department spokesperson said Monday that they ""deeply regret that Brittney Griner was unable to speak with her wife because of a logistical error"" after a report that the detained WNBA star's multiple attempts to connect by phone with her wife went unanswered by the US Embassy in Moscow."
30,politics,Stimulus Check Update as Gas Tax Holiday Inches Closer for Americans,Governors in some states are pushing for additional direct payments to help ease the burden on residents struggling with the rising cost of gas and other goods.
31,politics,"Mike Pence claims that Joe Biden lies more than any other president he's seen, ignoring his 4 years working for Trump","Mike Pence claimed that he had ""never"" seen a president lie as much as Joe Biden. The claim jars with his time as Vice President under Donald Trump, who told constant falsehoods. Trump's promotion of untrue narratives put Pence's life in danger during the Capitol Riot. Former Vice President Mike..."
32,politics,"Trump is ready to abandon attorney John Eastman after he was criticized in the Jan. 6 committee hearings, report says","Sources told Rolling Stone that Trump is seeking to distance himself from John Eastman, who is facing intense scrutiny from the Jan. 6 committee."
33,politics,Trump makes Jan. 6 goals clear as hearings continue,"WASHINGTON — If it’s Monday ... The upcoming Jan. 6 hearing will focus on then-President Donald Trump’s involvement in the failed scheme to push slates of alternate electors. ... Larry Summers says his best guess is that an economic recession is coming. ... Treasury Secretary Janet Yellen counters that a recession is not inevitable. ... It’s one day until Tuesday’s runoffs in Alabama and Georgia. ... Sen. Lisa Murkowski, R-Alaska, launches a new ad. ... And it’s the observed federal holiday for Juneteenth."
34,politics,Backlash ensues as President Biden suggests inflation a 'chance' to make 'fundamental turn' to clean energy,"President Biden faced backlash after appearing to suggest that high gas prices will be a ""good"" opportunity to make a fundamental turn"" to clean energy on Monday. Some conservatives called the president out on Twitter for the comments, as gas prices average $4.98 a gallon nationwide, according to AAA and inflation rose to a 40-year-high last month, sparking fears of an impending recession."
