,categories,headers,contents
0,science,More human remains found at drought-stricken Lake Mead," More human remains have been discovered in the drought-afflicted Lake Mead, a week after a body in a barrel was exposed by the lake’s plunging water line. The National Park Service (NPS) said rangers were contacted around 2pm on Saturday after a witness spotted the skeletal remains at Callville Bay. Rangers set up a perimeter in order to recover the body. The Clark County Medical Examiner is investigating to determine the cause of death and working to identify the person. Sources told KLAS that they do not suspect foul play.The grim discovery came a week after a barrel containing the remains..."
1,science,More human remains found in Lake Mead amid historic low water levels,At least 2 human remains have been discovered in Lake Mead since the beginning of May as the nation's largest reservoir suffers from historic drought.
2,science,A Supermassive Black Hole Just Flipped its Entire Magnetic Field,"Black holes are powerful cosmic engines. They provide the energy behind quasars and other active galactic nuclei (AGNs). This is due to the interaction of matter with its powerful gravitational and magnetic fields. Technically, a black hole doesn’t have a magnetic field on its own, but the dense plasma surrounding..."
3,science,Iron Age coins found in 1990s declared treasure trove,"A hoard of 17 Iron Age coins has been declared treasure trove by a coroner. The coins were unearthed over a period of years between 1993 and 1995 in the Dursley area of Gloucestershire. Experts have dated them between 50BC and 10AD, and they have been associated with the tribe..."
4,science,See the fiery Blood Moon rise in a total lunar eclipse in May's must-see skywatching event,"Looking for a telescope for the lunar eclipse? We recommend the Celestron Astro Fi 102 as the top pick in our best beginner's telescope guide. On the night of May 15-16, the attention of millions of people will be drawn skyward, where a mottled, coppery globe — the moon — will be completely immersed in the long, tapering cone of shadow cast into space by our planet. If the weather is clear, skywatchers across most of the Americas, Europe and Africa will have a view of one of nature's most beautiful spectacles: a total eclipse of the moon."
5,science,"A 1,000-pound great white shark just spotted off coast of New Jersey","A 1,000-pound (453 kilograms) migrating great white shark surfaced off the coast of New Jersey April 28 while seeking rich fishing grounds farther north. Researchers nicknamed the shark ""Ironbound"" when he was first caught and tagged in 2019, as he was found near West Ironbound Island near Lunenburg, Nova Scotia. The 12.4-foot-long (3.7 meters) shark migrating when he showed up on satellite."
6,science,Blood Moon total lunar eclipse 2022: Everything you need to know,"Looking for a telescope for the lunar eclipse? We recommend the Celestron Astro Fi 102 as the top pick in our best beginner's telescope guide. The first lunar eclipse of 2022 will take place on May 15 and 16, depending on your time zone. A total lunar eclipse, which happens..."
7,science,This mind-bending optical illusion features two hidden animals,"An optical illusion supposedly reveals if you're left-brained or right-brained depending on what animal you see but the only thing it seems to be proving is how mind-bending it is to look at. The popular illusion is going viral on social media once again. Twitter user Pam posted the optical illusion with the caption, ""Depending on how your brain works (left brain, right brain) you see a cat or a moose in this pattern. Whatever animal you see isn’t part of the image, just an optical illusion created by your own brain. If you zoom in on any of the..."
8,science,Stunned hiker turns to see large alligator climbing the fence behind her in Florida,“I heard the noise — a strange loud heavy clomping sound.”
9,science,The secret science behind the power of small talk,"Creating conversations is how we create relationships, so where would our conversations at work, networking events, or elsewhere be without small talk? Would we have found our best friend, special someone, or valued business partner? Without the light banter between Jeopardy! champion Amy Schneider and Ken Jennings on the quiz show, would we even have known that Schneider powered up with self “pep talks” while listening to Eminem’s “Lose Yourself” before each game?"
