,categories,headers,contents
0,weather,Japan Earthquake: JMA Issues Warning for More Aftershocks After Quake Leaves Six People Injured,"Earthquakes have struck some regions of Japan over recent days. This prompted the Japan Meteorological Agency (JMA) to issue a warning for more aftershocks in the coming days and week, raising concerns of a potential major earthquake waiting to occur in an unspecified point in time. The warning came after..."
1,weather,15 things you may not know about earthquakes,"Earthquakes can be so small they are never felt, or so large that the entire earth shakes from one. They have happened in every U.S. state and even occur on the moon. While there are many things we do not know about earthquakes, here, from the U.S. Geology Survey, are some facts about the powerful and unpredictable natural occurrences:"
2,weather,'Substantial weather pattern change' bringing heat and monsoonal moisture to California,Tuesday is the first day of summer - and it will certainly feel like it across Northern California.
3,weather,Tropics watch: Forecasters watching one tropical wave in Caribbean. All is quiet elsewhere,"
                        Conditions in the Atlantic basin remained quiet Tuesday, with forecasters watching one tropical wave in the eastern Caribbean Sea, according to the latest advisory from the National Hurricane Center.
                        There's more activity in the eastern Pacific, which has already experienced Hurricanes  Agatha and Blas. Tropical Depression Celia is forecast to become a tropical storm..."
4,weather,Hundreds of thousands evacuated in China after heaviest rains in decades,"The heaviest rainfall in decades has triggered floods and landslides in southern China, forcing the evacuation of hundreds of thousands of people, state media reported. Guangxi was hit by the heaviest floods since 2005, local media reported."
5,weather,Heat waves shattered records on 2 continents before summer began,"Two extraordinary heat waves sent temperatures soaring into uncharted territory in Europe and the U.S. prior to the summer solstice, setting new benchmarks for the month of June in several European countries. Why it matters: The early season extreme heat is a development meteorologists are calling ""unsettling"" and ""unprecedented."" These..."
6,weather,Second heat wave expected to bring temps above 100 for 20% of people in US,"The persistent heat dome which imposed oppressively high temperatures on the northern Plains and Midwest over the weekend will begin to shift further eastward this week, ending a short reprieve many states in the Great Lakes and Mid-Atlantic have had in recent days."
7,weather,Magnitude 6 Earthquake Strikes Bonin Islands - EMSC,"(Reuters) - A magnitude 6 earthquake struck the Bonin Islands, Japan region on Tuesday, the European-Mediterranean Seismological Centre (EMSC) said. The quake was at a depth of 60 km (37 miles), the EMSC said. (Reporting by Maria Ponnezhath in Bengaluru; Editing by Andrew Heavens)"
8,weather,Morning Briefing: Summer begins with a little sun and rain; Police officers who shot 8-year old want case quashed; Slow start may have doomed Phils,"Good Morning. Here are some of the top stories from around the region. There’s going to be a little bit of rain later today, but, for the most part, the first day of Summer will be brilliant. Expect some some sun mixed with clouds as we reach a high of 81 degrees."
9,weather,"As summer officially begins, millions have already suffered sweltering heat with little hope for quick relief","Though summer officially begins on Tuesday, millions of Americans have already been buffeted by triple-digit temperatures and dangerously high heat, which is only expected to continue as a second wave of extreme heat creeps into the eastern and southern US."
10,weather,Severely hypothermic hiker dies after rescue in ‘treacherous’ conditions near Mt. Washington,"A hiker rescued from “treacherous” conditions on a trail near Mt. Washington in New Hampshire’s Presidential Mountain Range died after suffering from severe hypothermia, state officials said Monday. Xi Chen, 53, of Andover, Massachusetts, was attempting to hike the Gulfside Trail in the Presidential Range when he..."
11,weather,"AccuWeather: More Clouds, But Comfy Today",Meteorologist Karen Rogers says we'll see a shower around this evening but some heavier downpours possible tomorrow.
12,weather,At least 32 dead and millions displaced amid historic monsoon flooding in Bangladesh,"Officials are scrambling to help the mass of people forced from their homes in a country swamped by torrential rains as dry food and drinking water slowly run out. Dozens of people are dead, and millions of homes have flooded after days of monsoon downpours caused catastrophic flooding in Bangladesh, authorities said."
13,weather,Massive heat dome to bring extra-hot weather to Texas,"Several states will see temperatures shoot over 100 degrees. In some places, it will feel hotter than 105."
14,weather,No relief as heat wave in US moves east,"A heat wave that baked much of the central United States last week will start to move eastward with dangerously high temperatures, forecasters said Monday. The National Weather Service told Americans to gird for another day of well above normal, near-record or even record-breaking heat from the central Plains to the Upper Midwest."
15,weather,What La Niña means for California’s summer,"While the lingering La Niña climate pattern is expected to bring soaking storms and strong hurricanes to parts of the U.S., it’s a different story here in California. La Niña is favored to stick around through the end of the year, according to the latest outlook from the National Weather Service’s Climate Prediction Center. While La Niña – and its opposite, El Niño – are characterized by the temperature of the Pacific Ocean, they have major impacts on the weather we experience on land."
16,weather,This Is the Hottest Place in America Today,"Most of the U.S. cities having the hottest weather are in Texas, but some are much further north."
17,weather,NWS Issues Warning for 'Monsoonal Rain' and Flash Flooding in New Mexico,"New Mexico is expected to receive a heavy downpour with flash floods due to a ""monsoonal rain"" this week, according to a warning by the National Weather Service (NWS). Thunderstorms could also cause flooding across the state, particularly in areas affected by ongoing wildfires, including the Hermits Peak/Calf Canyon Fire."
18,weather,Yellowstone Floods Showed What Climate Change Can Do to Beloved National Parks,"Earlier this month, catastrophic flooding d destroyed some of the roads leading into Yellowstone National Park, prompting the park to temporarily close. According to a new report in the New York Times, visitors will be able to access parts of the park later this week. The article notes that 80 percent of the park should be re-opened within two weeks, after $50 million worth of cleanup takes place."
19,weather,"Dozens dead, thousands homeless in Bangladesh, India floods","SYLHET, Bangladesh (AP) — Villagers in northeastern Bangladesh crowded makeshift refugee centers and scrambled to meet boats arriving with food and fresh water as massive floods, which have killed dozens of people and displaced hundreds of thousands there and in neighboring India, continued to wreak havoc Tuesday. In Sylhet,..."
20,weather,Power outages and brownouts become growing concern as state electricity grids struggle against heatwaves and record-breaking high temperatures,"As heatwaves continue to sweep across the nation, power companies are asking residents to conserve energy for fear of outages."
21,weather,"Saharan dust stays away this week, tropics quiet for now","One named storm in the Pacific, but will not have any impact to land."
