,category,header,content
0,weather,"Large Tornado Strikes Northern Michigan Town; 2 Killed, Dozens Injured","Damage was widespread as the killer tornado swept through Gaylord, Michigan. Here's the latest."
1,weather,Teens Die in Sand Collapses in Two States,Sand collapsed on teens in two different states after they dug deep holes that collapsed around them.
2,weather,Police Save 2-Year-Old and Two Adults After Boat Sinks,Three people were rescued from rough water after their small raft sank in Seattle.
3,weather,Power Plant Explosion Keeps Going and Going,"An explosion at an electrical substation in Humacao, Puerto Rico, is a reminder of the crumbling infrastructure that still needs repairs post Hurricane Maria."
4,weather,"Drought Behavior Differs Depending on Where You Live, Says New Study","Eastern droughts are shorter than in the West, but may develop more rapidly."
5,weather,Volcano Eruption Is Biggest Explosion Ever Recorded and It Reached Space,The volcano eruption in Tonga in January was the biggest explosion ever recorded and reached the ionosphere.
6,weather,Record Peak Electricity Demand Expected in Texas this Summer - And Every Year for the Next Decade,"Record electricity demand is expected this summer in Texas, and for the next decade."
7,weather,U.S. Dams in Worse Condition Than Previously Thought,"U.S. infrastructure is aging, and that includes our dams. An Associated Press analysis found the nation’s dams are in even worse condition than previously thought."
8,weather,New Mexico Wildfire Grows to Largest in State History,The massive inferno is now the largest in state history. Here's the latest.
9,weather,"Three Dead, Damage Across Dozens of Communities After Derecho Slams Midwest, Northern Plains",High winds and storms across parts of the Midwest and Plains left at least three people dead and several injured.
0,weather,Second Body Found in Drought Affected Lake Mead,"Authorities are determining the cause of death for a second body found in Lake Mead, just one week after a body in a barrel was discovered."
1,weather,Two-Week Kilauea Eruption Shows No Signs of Stopping,"Hawaii’s Kilauea Volcano has been erupting since September in starts and stops, but recently the flow of lava has become steadier."
2,weather,California Power Officials Warn of Power Shortfalls This Summer Amid Increasing Strain from Climate Change,California's electrical grid faces increasing strain from drought and extreme heat. Officials aren't sure how well it will hold up this summer.
3,weather,Damage at Texas RV Park as Storms Tear Across Plains For a Second Day,Damaging storms are ripping across the Plains for a second day in a row. Here's the latest.
4,weather,"Injuries Reported Amid Extensive Storm Damage in Texas; Tornadoes, Flooding Strike Several States","Storms have brought hail, tornadoes and flooding across several states. Here's the latest."
5,weather,Several States Face Significant Wildfire Danger in Coming Months,"All or parts of several states are at significant risk for wildfires from now through August, according to the latest national wildfire potential outlook."
6,weather,The Weather Channel Launched 40 Years Ago. One of the Strongest El Niños and Least Active Hurricane Stretches Followed.,"It's hard to imagine today, but The Weather Channel's first hurricane seasons were really quiet, with one exception."
7,weather,"The Weather Channel's 40 Years, by the Numbers","From tornadoes to extreme temperatures, here's a look at weather by the numbers over the past four decades."
8,weather,Amazing Rescue as Excavator Plucks Man from Flood,Authorities in China used an excavator to rescue a man who tried to drive across a river and got swept away.
9,weather,IBM Launches 2022 Call For Code Global Challenge,The 2022 Call for Code Global Challenge is officially underway.
0,weather,"Retired Fire Chief Killed, 15 Injured in Nebraska Wildfires","A retired fire chief was killed and at least 15 firefighters injured in recent days battling blazes fueled by dry, windy conditions in Nebraska."
1,weather,"Winds Fuel Wildfires, Dust Storms From New Mexico to Kansas",Fierce winds fueled wildfires and dust storms across the West and into the Central Plains.
2,weather,"Dangerous Fire Weather Prompts Fresh Evacuations, Fears Flames Will Spread",Wildfires and evacuations spread amid extremely dangerous fire weather Friday.
3,weather,"Wildfire Near Flagstaff, Arizona, Burns Structures, Forces Hundreds to Flee",A fast-moving wildfire is being fueled by winds. Here's the latest.
4,weather,"Hundreds of Thousands Without Power, Travel Restrictions Issued as Late Season Winter Storm Batters Northeast",A late season winter storm battering the Northeast is notable for the amount of snow it's dumping on some spots.
5,weather,"Northern-Most Military Bases Not Prepared for Climate Change, Pentagon Report Says",A new Department of Defense inspector general report says U.S. bases in Alaska and Greenland aren't doing enough to plan for long-term climate change impacts.
